"44,Stellar Monarch,72.61%,""10,477"",5,50,446000"
"45,Star Dynasties,66.93%,""10,225"",4,292,1194590"
"46,Realpolitiks,61.34%,""10,214"",6,""1,148"",553260"
"47,Replica,83.50%,""10,147"",1,286,496890"
"48,Orwell: Ignorance is Strength,75.72%,""10,086"",6,375,633060"
"49,The Fermi Paradox,74.71%,""9,828"",19,423,1543150"
"50,Secret Government,61.59%,""9,795"",2,128,946990"
"51,NIMBY Rails,85.52%,""9,665"",121,834,1134710"
"52,Twilight Struggle,83.29%,""9,588"",79,672,406290"
"53,ICBM,86.85%,""9,585"",33,700,1178220"
"54,1979 Revolution: Black Friday,73.46%,""9,322"",0,40,388320"
"55,Black The Fall,74.91%,""8,246"",3,302,308060"
"56,Hentai Police,79.78%,""8,192"",1,108,1198730"
"57,Mr.President!,76.05%,""7,910"",5,385,507010"
"58,Power & Revolution,55.68%,""7,563"",17,335,467520"
"59,Plutocracy,72.20%,""7,332"",20,173,754500"
"60,Mind Scanners,78.04%,""7,240"",17,174,1389550"
"61,Through the Darkest of Times,80.17%,""6,774"",6,344,1003090"
"62,Base One,47.67%,""6,621"",16,464,1471040"
"63,Help Will Come Tomorrow,78.43%,""6,603"",10,365,1119600"
"64,Second Galaxy,50.68%,""6,577"",26,765,1133730"
"65,Counter Terrorist Agency,51.41%,""6,028"",0,226,936490"
"66,Rogue State Revolution,76.75%,""5,878"",8,295,1145340"
"67,The Last Hope: Trump vs Mafia - North Korea,48.93%,""5,761"",9,""1,369"",581030"
"68,Realpolitiks II,50.72%,""5,556"",12,305,1248060"
"69,Throne of Lies®: Medieval Politics,75.80%,""5,539"",33,""1,381"",595280"
"70,Crisis in the Kremlin,80.17%,""5,469"",93,""3,095"",599750"
"71,US Spy: Mission in Russia,72.39%,""5,116"",0,21,1219940"
"72,The Political Machine 2016,72.78%,""4,984"",1,193,404620"
"73,For the People,74.57%,""4,655"",2,294,1146600"
"74,Save Koch,63.64%,""4,548"",0,49,1016720"
"75,Europa Universalis III Complete,79.81%,""4,548"",65,""1,315"",25800"
"76,Make America Great Again: The Trump Presidency,83.07%,""4,396"",3,732,515040"
"77,Power & Revolution 2019 Edition,59.78%,""4,340"",48,340,1029630"
"78,The Invisible Hand,75.20%,""3,994"",2,157,628200"
"79,Codex of Victory,68.12%,""3,944"",2,148,464100"
"80,Masters of the World - Geopolitical Simulator 3,45.49%,""3,909"",3,85,268890"
"81,Headliner: NoviNews,85.57%,""3,893"",0,198,918820"
"82,Border Officer,55.73%,""3,774"",2,74,1057180"
"83,The Political Process,90.49%,""3,738"",60,310,1184770"
"84,HEADLINER,74.01%,""3,627"",1,44,680980"
"85,Tonight We Riot,87.82%,""3,493"",1,84,290690"
"86,OFF GRID : Stealth Hacking,-,""3,159"",0,3,526720"
"87,Interrogation: You will be deceived,82.40%,""2,990"",3,29,1016770"
"89,Ministry of Broadcast,79.80%,""2,886"",0,49,874040"
"90,Political Animals,67.13%,""2,865"",0,53,458630"
"91,Power & Revolution 2020 Edition,63.74%,""2,853"",110,296,1379930"
"92,China: Mao's legacy,86.29%,""2,825"",97,""2,199"",950740"
"93,Not For Broadcast: Prologue,87.32%,""2,699"",4,31,1201400"
"94,PRINCIPIA: Master of Science,67.93%,""2,638"",0,170,491470"
"95,Arms Race - TCWE,64.17%,""2,567"",1,7,583590"
"96,Irony Curtain: From Matryoshka with Love,82.12%,""2,401"",0,63,866190"
"97,Lawgivers,78.50%,""2,235"",1,43,683940"
"98,NationWar2:Chronicle,77.29%,""2,139"",7,53,1005460"
